"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"        Estimate","854","36.7%","49.3%","12.1%","2.0%","6,302","9.0%","19.6%","38.1%","16.6%","6.2%","7.4%","3.1%","71.4%","10.5%","1,115","71.5%","10.4%","1,117","73.9%","10.5%","2,731","77.0%","9.3%","1,339","57.7%","13.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","915","20.9%","31.1%","46.1%","1.9%","7,737","7.3%","15.1%","39.2%","17.7%","9.3%","8.2%","3.2%","77.6%","11.4%","1,334","84.7%","13.6%","1,322","86.8%","19.6%","2,998","85.8%","11.1%","2,083","55.4%","5.2%"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,452","18.1%","32.6%","45.2%","4.0%","77,722","7.5%","14.0%","34.5%","21.2%","6.7%","9.7%","6.4%","78.5%","16.1%","14,841","80.0%","17.3%","15,094","84.4%","17.5%","31,290","82.8%","16.5%","16,497","63.8%","13.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,113","20.4%","33.8%","43.8%","1.9%","36,415","7.7%","13.7%","33.8%","21.9%","6.1%","10.1%","6.8%","78.6%","16.8%","7,315","79.8%","14.0%","7,353","82.5%","14.6%","15,012","81.3%","18.3%","6,735","67.1%","19.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,339","15.9%","31.5%","46.5%","6.1%","41,307","7.3%","14.3%","35.1%","20.6%","7.2%","9.4%","6.1%","78.4%","15.5%","7,526","80.2%","20.5%","7,741","86.1%","20.2%","16,278","84.1%","14.9%","9,762","61.5%","8.8%"
"Chambers County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,732","24.7%","34.6%","38.0%","2.7%","23,737","8.7%","19.5%","34.3%","19.6%","7.1%","7.1%","3.7%","71.8%","10.8%","4,038","77.5%","12.2%","4,481","86.6%","12.5%","9,587","74.0%","10.9%","5,631","52.4%","8.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,410","27.3%","44.5%","27.2%","1.1%","10,932","10.0%","20.8%","32.7%","18.9%","6.3%","7.6%","3.8%","69.3%","11.4%","1,912","69.0%","6.9%","2,201","80.7%","12.4%","4,578","70.1%","12.0%","2,241","56.5%","13.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,322","21.9%","24.1%","49.5%","4.5%","12,805","7.6%","18.4%","35.7%","20.1%","7.9%","6.6%","3.7%","74.0%","10.3%","2,126","85.0%","16.9%","2,280","92.2%","12.6%","5,009","77.6%","9.8%","3,390","49.6%","5.5%"
"Cherokee County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,809","39.2%","36.8%","19.8%","4.1%","18,554","8.5%","18.0%","35.3%","22.2%","5.5%","6.3%","4.2%","73.4%","10.5%","2,743","78.6%","7.7%","3,329","76.4%","9.5%","7,978","79.1%","12.6%","4,504","58.0%","9.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","924","51.5%","37.1%","10.2%","1.2%","9,039","10.0%","13.7%","37.1%","22.9%","5.4%","7.4%","3.5%","76.3%","10.9%","1,295","79.9%","3.2%","1,767","72.8%","9.1%","3,938","83.7%","14.3%","2,039","62.6%","10.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","885","26.4%","36.4%","29.9%","7.2%","9,515","7.2%","22.1%","33.5%","21.5%","5.5%","5.2%","5.0%","70.7%","10.2%","1,448","77.4%","11.7%","1,562","80.5%","10.0%","4,040","74.6%","10.9%","2,465","54.1%","8.1%"
"Chilton County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,654","24.0%","50.0%","21.7%","4.2%","28,554","8.1%","16.1%","40.5%","17.9%","5.3%","7.4%","4.8%","75.9%","12.2%","5,596","76.9%","16.2%","6,115","80.3%","15.0%","11,115","81.4%","11.1%","5,728","59.3%","7.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,922","26.6%","50.7%","20.3%","2.3%","13,809","9.5%","14.9%","41.9%","18.2%","5.4%","6.1%","4.1%","75.7%","10.2%","2,744","73.1%","9.8%","3,137","77.0%","13.2%","5,403","81.8%","9.1%","2,525","63.7%","9.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,732","21.1%","49.2%","23.2%","6.4%","14,745","6.8%","17.2%","39.1%","17.6%","5.2%","8.5%","5.5%","76.0%","14.0%","2,852","80.6%","22.3%","2,978","83.8%","17.0%","5,712","81.0%","13.0%","3,203","55.9%","5.7%"
"Choctaw County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,057","28.5%","34.9%","36.2%","0.4%","9,793","13.5%","15.4%","39.3%","13.7%","7.3%","6.8%","4.1%","71.1%","10.9%","1,248","80.3%","15.3%","1,970","75.1%","7.4%","4,113","75.0%","11.9%","2,462","56.6%","9.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","521","37.6%","47.4%","15.0%","0.0%","4,586","17.4%","16.6%","39.1%","13.8%","3.2%","8.3%","1.5%","66.0%","9.8%","600","77.5%","13.5%","958","78.6%","4.3%","1,977","64.3%","9.8%","1,051","51.1%","12.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","536","19.6%","22.8%","56.9%","0.7%","5,207","10.1%","14.3%","39.4%","13.5%","10.9%","5.5%","6.4%","75.6%","11.8%","648","82.9%","17.0%","1,012","71.8%","10.4%","2,136","85.0%","13.9%","1,411","60.7%","7.4%"
"Clarke County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,669","35.8%","33.2%","30.2%","0.8%","16,839","8.1%","15.7%","42.1%","14.2%","6.4%","8.5%","4.9%","76.1%","13.5%","2,344","78.1%","19.7%","3,801","83.2%","12.0%","6,684","79.4%","12.3%","4,010","62.9%","13.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,347","33.0%","41.6%","25.5%","0.0%","7,727","10.1%","15.3%","42.0%","13.8%","6.8%","8.1%","4.0%","74.6%","12.0%","1,038","69.4%","11.4%","1,790","75.0%","9.9%","3,199","82.8%","11.0%","1,700","62.2%","16.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,322","38.7%","24.7%","35.0%","1.7%","9,112","6.5%","16.1%","42.1%","14.5%","6.1%","8.9%","5.7%","77.4%","14.7%","1,306","85.0%","26.3%","2,011","90.6%","13.9%","3,485","76.2%","13.4%","2,310","63.4%","10.6%"
"Clay County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,087","33.6%","44.3%","17.4%","4.7%","9,828","9.7%","18.9%","38.8%","16.0%","7.1%","6.4%","3.1%","71.4%","9.5%","1,548","76.4%","10.5%","2,058","76.5%","12.1%","3,708","74.6%","9.7%","2,514","59.5%","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","590","33.2%","46.3%","18.8%","1.7%","4,705","9.4%","19.1%","41.7%","14.6%","6.1%","6.9%","2.2%","71.5%","9.1%","735","79.2%","8.6%","1,066","72.6%","8.1%","1,783","75.4%","9.5%","1,121","59.0%","9.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","497","34.0%","42.1%","15.7%","8.2%","5,123","9.9%","18.7%","36.2%","17.4%","8.0%","5.9%","4.0%","71.3%","9.9%","813","73.8%","12.2%","992","80.7%","16.3%","1,925","73.8%","9.8%","1,393","59.9%","4.0%"
"Cleburne County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,138","37.3%","34.8%","22.9%","4.9%","10,130","10.2%","19.5%","39.5%","17.4%","5.0%","4.7%","3.7%","70.3%","8.4%","1,681","81.7%","11.0%","2,063","73.1%","8.0%","4,054","72.4%","9.3%","2,332","56.0%","5.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","615","53.0%","24.4%","18.0%","4.6%","4,942","11.3%","21.8%","38.1%","16.1%","5.0%","4.7%","3.1%","66.9%","7.8%","804","74.6%","9.7%","1,061","71.1%","7.7%","2,042","65.0%","7.5%","1,035","60.5%","6.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523","18.9%","47.0%","28.7%","5.4%","5,188","9.2%","17.3%","40.9%","18.6%","5.1%","4.7%","4.3%","73.5%","9.0%","877","88.1%","12.2%","1,002","75.3%","8.4%","2,012","79.9%","11.1%","1,297","52.4%","3.9%"
"Coffee County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,240","20.4%","32.3%","33.9%","13.4%","32,426","8.7%","12.0%","28.2%","20.8%","8.2%","13.6%","8.5%","79.3%","22.1%","6,260","83.1%","25.9%","6,745","80.3%","23.0%","12,389","83.4%","23.2%","7,032","67.7%","15.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,235","26.6%","24.0%","32.5%","16.9%","15,596","9.8%","11.9%","25.9%","21.4%","7.4%","14.4%","9.2%","78.3%","23.6%","3,291","81.8%","23.1%","3,434","76.9%","22.4%","5,897","81.4%","25.0%","2,974","70.0%","22.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,005","13.4%","41.5%","35.5%","9.6%","16,830","7.8%","12.0%","30.4%","20.2%","9.0%","12.8%","7.8%","80.2%","20.6%","2,969","84.5%","28.9%","3,311","83.8%","23.6%","6,492","85.2%","21.5%","4,058","66.1%","10.7%"
"Colbert County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,321","24.3%","29.8%","40.5%","5.3%","37,986","6.9%","13.0%","34.3%","22.2%","7.2%","10.5%","5.9%","80.1%","16.4%","6,080","82.0%","16.9%","7,335","86.2%","22.8%","15,289","84.1%","14.6%","9,282","67.4%","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,185","31.3%","29.7%","34.8%","4.3%","17,684","7.5%","12.4%","35.3%","21.7%","6.7%","11.0%","5.4%","80.1%","16.4%","2,883","79.3%","15.1%","3,618","84.1%","17.6%","7,317","84.0%","15.2%","3,866","69.5%","18.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,136","17.3%","30.0%","46.4%","6.3%","20,302","6.4%","13.5%","33.4%","22.5%","7.7%","10.0%","6.4%","80.1%","16.4%","3,197","84.5%","18.5%","3,717","88.2%","27.9%","7,972","84.2%","14.0%","5,416","65.9%","10.9%"
"Conecuh County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,263","37.4%","37.9%","24.0%","0.7%","8,917","9.6%","19.1%","37.0%","14.2%","10.4%","5.4%","4.3%","71.3%","9.7%","1,256","75.6%","8.0%","1,403","84.5%","14.5%","3,937","74.0%","10.5%","2,321","56.4%","6.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","607","38.6%","51.4%","10.0%","0.0%","4,213","11.0%","19.3%","35.9%","13.3%","12.5%","4.6%","3.3%","69.7%","7.9%","513","88.1%","7.8%","750","76.9%","5.9%","1,934","69.0%","8.7%","1,016","56.3%","8.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","656","36.3%","25.5%","36.9%","1.4%","4,704","8.4%","18.9%","38.0%","15.1%","8.5%","6.1%","5.1%","72.8%","11.3%","743","67.0%","8.2%","653","93.3%","24.3%","2,003","78.8%","12.1%","1,305","56.6%","5.2%"
"Coosa County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","865","25.1%","34.5%","39.8%","0.7%","8,169","8.3%","18.6%","42.5%","16.0%","4.1%","5.7%","4.8%","73.1%","10.6%","1,079","74.9%","7.1%","1,605","75.1%","9.0%","3,576","75.8%","9.9%","1,909","65.3%","15.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","448","28.8%","37.3%","33.9%","0.0%","3,947","9.4%","20.5%","42.3%","15.2%","3.1%","4.7%","4.9%","70.1%","9.6%","520","69.6%","7.7%","784","64.0%","6.4%","1,777","75.2%","8.8%","866","65.5%","15.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","417","21.1%","31.4%","46.0%","1.4%","4,222","7.2%","16.9%","42.7%","16.8%","5.0%","6.7%","4.7%","75.9%","11.4%","559","79.8%","6.6%","821","85.7%","11.6%","1,799","76.4%","11.0%","1,043","65.1%","14.8%"
"Covington County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,047","28.1%","37.4%","31.2%","3.3%","26,024","8.9%","14.6%","37.3%","18.5%","7.6%","8.3%","4.8%","76.5%","13.1%","4,095","82.1%","12.3%","4,773","79.0%","15.6%","10,360","81.4%","14.8%","6,796","63.7%","9.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,502","33.0%","44.4%","21.5%","1.1%","12,266","9.4%","14.4%","38.0%","18.7%","6.5%","8.6%","4.4%","76.2%","13.1%","2,047","75.4%","7.9%","2,388","78.3%","13.8%","5,028","80.7%","14.7%","2,803","66.9%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,545","23.4%","30.6%","40.6%","5.5%","13,758","8.4%","14.9%","36.7%","18.3%","8.6%","8.0%","5.1%","76.7%","13.1%","2,048","88.8%","16.6%","2,385","79.7%","17.4%","5,332","82.1%","14.9%","3,993","61.5%","6.3%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,059","17.1%","40.3%","36.4%","6.1%","9,548","10.7%","15.7%","38.2%","20.0%","5.3%","6.2%","3.9%","73.7%","10.1%","1,589","78.2%","14.7%","1,864","79.5%","9.0%","3,833","77.5%","11.2%","2,262","59.2%","6.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","560","18.4%","43.9%","34.5%","3.2%","4,463","11.2%","17.3%","37.5%","21.5%","3.3%","5.8%","3.3%","71.4%","9.1%","784","70.5%","6.3%","854","74.5%","9.5%","1,937","75.3%","10.0%","888","60.8%","9.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","499","15.6%","36.3%","38.7%","9.4%","5,085","10.1%","14.2%","38.8%","18.7%","7.0%","6.6%","4.5%","75.7%","11.1%","805","85.7%","23.0%","1,010","83.8%","8.6%","1,896","79.8%","12.4%","1,374","58.1%","3.9%"
"Cullman County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,936","20.2%","36.6%","41.2%","2.0%","54,240","8.2%","14.9%","33.6%","20.5%","9.0%","8.4%","5.4%","76.9%","13.8%","9,706","78.6%","13.2%","10,591","81.7%","13.5%","21,544","83.0%","16.4%","12,399","60.7%","10.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,564","20.7%","38.7%","39.1%","1.5%","26,339","9.4%","15.6%","32.9%","20.2%","8.0%","8.9%","4.9%","75.0%","13.8%","4,943","75.9%","10.6%","5,447","76.0%","12.2%","10,627","82.7%","16.7%","5,322","57.6%","12.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,372","19.6%","34.4%","43.3%","2.6%","27,901","7.2%","14.2%","34.1%","20.8%","9.9%","7.9%","5.9%","78.6%","13.8%","4,763","81.5%","15.9%","5,144","87.7%","14.9%","10,917","83.2%","16.1%","7,077","63.1%","8.0%"
"Dale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,753","21.4%","37.0%","33.9%","7.7%","32,541","6.2%","11.6%","29.7%","25.8%","9.3%","11.9%","5.6%","82.2%","17.5%","7,145","87.2%","20.1%","6,281","87.2%","18.9%","12,508","84.8%","18.7%","6,607","67.2%","11.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,575","22.6%","42.6%","29.7%","5.2%","15,600","6.3%","10.0%","27.9%","27.2%","9.1%","13.7%","5.8%","83.8%","19.5%","3,653","84.9%","17.9%","3,082","87.5%","18.1%","6,048","87.5%","23.8%","2,817","70.2%","14.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,178","20.0%","30.4%","39.0%","10.6%","16,941","6.0%","13.1%","31.3%","24.4%","9.5%","10.2%","5.5%","80.8%","15.7%","3,492","89.7%","22.4%","3,199","86.9%","19.8%","6,460","82.3%","13.9%","3,790","65.0%","9.1%"
"Dallas County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,135","27.9%","33.3%","33.8%","5.1%","28,045","7.1%","16.1%","36.6%","18.0%","7.9%","8.2%","6.0%","76.8%","14.3%","4,913","78.1%","12.0%","5,283","85.4%","15.2%","11,808","79.8%","15.3%","6,041","62.6%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,941","29.6%","36.6%","30.6%","3.2%","12,420","8.3%","16.6%","38.5%","19.3%","6.1%","7.2%","4.1%","75.2%","11.3%","2,148","75.4%","9.3%","2,393","83.0%","7.7%","5,463","78.9%","13.1%","2,416","58.8%","12.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,194","26.3%","30.4%","36.6%","6.7%","15,625","6.1%","15.7%","35.1%","17.1%","9.4%","9.0%","7.6%","78.2%","16.6%","2,765","80.1%","14.1%","2,890","87.3%","21.3%","6,345","80.6%","17.2%","3,625","65.1%","13.7%"
"DeKalb County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,502","34.4%","33.0%","30.3%","2.2%","46,314","14.2%","17.7%","33.8%","16.9%","6.5%","6.2%","4.7%","68.1%","10.9%","9,416","67.7%","11.5%","9,115","78.1%","11.6%","18,216","71.1%","11.7%","9,567","53.2%","8.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
