"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","1,647","22.0%","32.8%","43.2%","1.9%","14,041","7.9%","15.5%","37.1%","17.4%","7.8%","8.3%","6.0%","76.6%","14.3%","2,464","81.4%","14.5%","2,337","76.3%","18.6%","5,648","83.1%","13.2%","3,592","63.1%","13.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","812","25.5%","39.4%","31.5%","3.6%","6,222","9.3%","16.4%","37.8%","17.1%","6.1%","7.4%","5.8%","74.3%","13.3%","1,094","75.2%","9.3%","1,079","69.5%","14.5%","2,606","81.0%","13.2%","1,443","64.9%","15.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","835","18.7%","26.3%","54.6%","0.4%","7,819","6.8%","14.8%","36.6%","17.6%","9.1%","8.9%","6.2%","78.4%","15.2%","1,370","86.4%","18.7%","1,258","82.2%","22.1%","3,042","85.0%","13.1%","2,149","61.9%","11.7%"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,182","15.8%","30.3%","49.6%","4.3%","78,667","6.7%","13.3%","32.4%","23.4%","7.4%","10.7%","6.2%","80.1%","16.9%","14,713","82.8%","17.4%","14,416","82.1%","17.1%","31,718","83.2%","17.4%","17,820","70.6%","15.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,037","20.3%","29.9%","47.8%","2.0%","36,891","6.8%","12.6%","33.0%","24.1%","6.7%","10.7%","6.1%","80.6%","16.7%","7,169","82.5%","15.2%","6,996","81.4%","14.1%","15,258","82.2%","17.1%","7,468","74.9%","20.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,145","11.4%","30.8%","51.3%","6.5%","41,776","6.6%","13.8%","31.9%","22.7%","7.9%","10.8%","6.3%","79.6%","17.1%","7,544","83.2%","19.6%","7,420","82.7%","20.0%","16,460","84.1%","17.8%","10,352","67.5%","12.0%"
"Chambers County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,872","13.8%","46.8%","35.6%","3.9%","23,821","6.4%","16.1%","37.3%","20.7%","7.2%","7.8%","4.4%","77.5%","12.2%","3,846","85.9%","13.6%","4,228","80.9%","14.2%","9,706","79.0%","11.6%","6,041","67.3%","11.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,456","18.7%","49.5%","27.6%","4.3%","11,047","8.2%","17.7%","36.1%","18.2%","6.1%","9.3%","4.4%","74.1%","13.7%","1,845","82.3%","14.6%","2,068","73.8%","12.0%","4,660","74.4%","12.6%","2,474","67.7%","16.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,416","8.7%","44.0%","43.9%","3.5%","12,774","4.8%","14.8%","38.3%","22.9%","8.2%","6.5%","4.4%","80.4%","11.0%","2,001","89.2%","12.6%","2,160","87.8%","16.3%","5,046","83.2%","10.7%","3,567","67.0%","7.2%"
"Cherokee County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,941","21.1%","35.2%","39.6%","4.0%","18,806","8.2%","12.4%","35.9%","23.2%","6.7%","8.1%","5.7%","79.5%","13.7%","2,530","84.0%","11.7%","3,151","88.3%","16.5%","8,121","82.1%","14.5%","5,004","67.5%","11.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","995","17.5%","40.6%","39.5%","2.4%","9,232","9.4%","9.7%","39.8%","22.2%","6.1%","8.8%","4.0%","80.9%","12.8%","1,231","82.5%","6.0%","1,619","89.6%","16.9%","4,126","81.4%","12.7%","2,256","72.8%","13.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","946","24.9%","29.6%","39.7%","5.7%","9,574","7.0%","14.9%","32.1%","24.2%","7.2%","7.3%","7.3%","78.2%","14.6%","1,299","85.5%","17.2%","1,532","86.9%","16.1%","3,995","82.8%","16.5%","2,748","63.1%","9.9%"
"Chilton County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,663","14.2%","42.9%","39.5%","3.4%","29,393","8.0%","14.5%","40.0%","17.0%","7.0%","8.8%","4.8%","77.5%","13.5%","5,636","76.8%","14.0%","5,931","80.0%","12.8%","11,435","82.2%","15.7%","6,391","67.6%","10.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,892","17.5%","48.0%","33.9%","0.6%","14,309","9.7%","15.5%","38.9%","15.8%","7.3%","9.4%","3.4%","74.8%","12.8%","2,747","75.0%","8.4%","3,079","71.5%","9.9%","5,643","79.6%","16.8%","2,840","68.8%","12.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,771","10.6%","37.4%","45.5%","6.5%","15,084","6.3%","13.6%","41.0%","18.2%","6.7%","8.2%","6.1%","80.1%","14.2%","2,889","78.5%","19.3%","2,852","89.0%","16.0%","5,792","84.8%","14.6%","3,551","66.6%","8.2%"
"Choctaw County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,071","21.0%","42.3%","34.5%","2.1%","9,564","9.2%","16.7%","35.2%","18.4%","7.6%","8.1%","4.7%","74.1%","12.8%","1,317","78.6%","10.8%","1,581","80.8%","18.8%","4,009","79.8%","14.1%","2,657","59.1%","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","560","21.3%","47.7%","27.3%","3.8%","4,421","10.5%","17.1%","39.6%","14.6%","6.4%","7.4%","4.3%","72.3%","11.8%","613","77.2%","12.1%","749","88.5%","19.9%","1,903","72.7%","10.6%","1,156","58.7%","8.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","511","20.7%","36.4%","42.5%","0.4%","5,143","8.1%","16.3%","31.5%","21.7%","8.7%","8.6%","5.0%","75.5%","13.6%","704","79.8%","9.7%","832","73.8%","17.9%","2,106","86.2%","17.2%","1,501","59.5%","8.1%"
"Clarke County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,155","24.6%","53.7%","20.6%","1.2%","17,220","5.5%","14.4%","43.9%","16.5%","7.7%","8.1%","3.9%","80.1%","11.9%","2,719","83.6%","5.7%","3,130","87.5%","11.6%","7,053","81.8%","14.5%","4,318","69.8%","11.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,087","24.7%","56.7%","17.3%","1.3%","7,914","5.3%","13.3%","46.9%","16.6%","6.8%","7.3%","3.8%","81.4%","11.1%","1,256","81.4%","2.9%","1,439","83.0%","12.1%","3,364","86.0%","12.9%","1,855","71.8%","12.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,068","24.4%","50.7%","23.9%","1.0%","9,306","5.7%","15.2%","41.4%","16.5%","8.5%","8.8%","3.9%","79.1%","12.7%","1,463","85.6%","8.0%","1,691","91.4%","11.2%","3,689","77.9%","16.0%","2,463","68.4%","11.5%"
"Clay County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","976","15.1%","36.6%","40.6%","7.8%","9,620","10.2%","14.9%","36.2%","22.6%","7.4%","5.4%","3.2%","74.9%","8.6%","1,462","83.1%","5.4%","1,621","77.0%","5.3%","4,050","74.2%","10.6%","2,487","69.8%","9.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","466","13.1%","35.8%","40.8%","10.3%","4,582","12.3%","16.1%","37.0%","21.6%","6.7%","4.1%","2.2%","71.6%","6.3%","697","78.3%","2.2%","779","71.6%","1.7%","1,987","71.2%","8.1%","1,119","68.2%","9.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510","16.9%","37.3%","40.4%","5.5%","5,038","8.4%","13.8%","35.6%","23.6%","8.0%","6.6%","4.0%","77.8%","10.6%","765","87.5%","8.4%","842","81.9%","8.7%","2,063","77.1%","13.1%","1,368","71.1%","9.4%"
"Cleburne County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,105","19.9%","37.6%","37.2%","5.2%","10,308","7.8%","16.9%","38.6%","21.4%","4.7%","5.7%","4.9%","75.3%","10.6%","1,591","85.9%","15.7%","1,966","81.7%","10.1%","4,148","77.6%","11.9%","2,603","60.5%","5.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","553","18.8%","36.9%","34.4%","9.9%","5,007","8.4%","19.0%","39.0%","20.9%","4.2%","4.0%","4.6%","72.6%","8.5%","756","81.5%","7.9%","1,004","75.0%","8.0%","2,098","75.0%","10.3%","1,149","60.4%","6.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","552","21.0%","38.4%","40.0%","0.5%","5,301","7.2%","14.9%","38.3%","21.9%","5.2%","7.4%","5.1%","77.9%","12.5%","835","89.9%","22.6%","962","88.7%","12.4%","2,050","80.2%","13.5%","1,454","60.6%","5.4%"
"Coffee County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,239","19.6%","28.9%","43.8%","7.8%","34,363","6.3%","10.6%","29.8%","21.1%","9.0%","14.2%","9.0%","83.1%","23.2%","6,683","86.9%","29.9%","6,876","85.6%","24.5%","13,151","86.5%","22.6%","7,653","71.9%","17.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,213","19.3%","28.1%","42.6%","10.0%","16,686","7.2%","10.8%","28.7%","21.3%","8.0%","14.7%","9.2%","81.9%","23.9%","3,555","84.8%","26.3%","3,388","83.2%","23.0%","6,436","84.2%","23.6%","3,307","73.1%","22.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,026","19.9%","29.7%","45.1%","5.4%","17,677","5.4%","10.4%","30.8%","21.0%","9.9%","13.8%","8.8%","84.3%","22.5%","3,128","89.2%","34.0%","3,488","87.9%","25.9%","6,715","88.7%","21.7%","4,346","70.9%","12.9%"
"Colbert County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,575","21.4%","31.2%","45.6%","1.8%","38,009","5.1%","11.2%","33.8%","24.3%","7.8%","11.1%","6.5%","83.6%","17.6%","6,248","87.1%","19.3%","6,684","86.3%","21.3%","15,376","87.5%","17.2%","9,701","73.4%","14.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,219","18.6%","42.6%","38.1%","0.8%","17,874","4.8%","12.5%","34.5%","24.2%","7.2%","10.9%","5.8%","82.7%","16.8%","3,062","84.7%","16.0%","3,239","79.5%","12.9%","7,443","87.5%","17.8%","4,130","74.9%","18.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,356","24.0%","20.5%","52.6%","2.8%","20,135","5.4%","10.1%","33.2%","24.5%","8.4%","11.3%","7.1%","84.5%","18.4%","3,186","89.4%","22.3%","3,445","92.7%","29.2%","7,933","87.5%","16.6%","5,571","72.4%","12.0%"
"Conecuh County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,157","26.8%","43.6%","27.0%","2.6%","8,930","8.1%","15.9%","42.8%","18.0%","6.9%","4.4%","3.9%","76.0%","8.3%","1,266","82.0%","6.1%","1,419","83.7%","11.8%","3,780","74.9%","8.3%","2,465","70.2%","7.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","607","32.6%","55.5%","10.7%","1.2%","4,166","10.8%","20.4%","42.5%","13.3%","4.7%","5.3%","3.0%","68.8%","8.4%","602","72.6%","1.7%","652","78.7%","16.0%","1,818","68.6%","7.6%","1,094","61.2%","8.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","550","20.4%","30.5%","44.9%","4.2%","4,764","5.8%","11.9%","43.1%","22.1%","8.8%","3.6%","4.7%","82.3%","8.3%","664","90.5%","10.1%","767","87.9%","8.2%","1,962","80.7%","8.9%","1,371","77.4%","6.5%"
"Coosa County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","890","19.1%","25.8%","55.1%","0.0%","8,218","7.1%","17.0%","39.5%","20.9%","6.4%","5.3%","3.8%","75.9%","9.1%","1,176","66.5%","7.6%","1,461","79.1%","12.7%","3,625","81.2%","7.0%","1,956","69.3%","11.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493","25.2%","24.1%","50.7%","0.0%","4,116","8.4%","18.5%","40.4%","22.3%","5.1%","2.6%","2.7%","73.2%","5.3%","599","63.1%","1.2%","771","76.4%","4.0%","1,874","77.7%","5.7%","872","67.4%","8.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397","11.6%","28.0%","60.5%","0.0%","4,102","5.8%","15.5%","38.7%","19.5%","7.6%","8.0%","4.8%","78.6%","12.8%","577","70.0%","14.2%","690","82.2%","22.3%","1,751","85.0%","8.5%","1,084","70.8%","13.0%"
"Covington County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,005","23.7%","38.1%","33.9%","4.3%","26,478","8.0%","12.0%","34.1%","22.1%","9.3%","9.4%","5.2%","80.0%","14.6%","4,175","87.6%","13.1%","4,467","82.7%","17.9%","10,530","82.4%","14.1%","7,306","70.5%","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,535","23.7%","47.0%","27.4%","1.9%","12,425","7.5%","12.8%","38.2%","19.4%","7.8%","8.9%","5.3%","79.7%","14.2%","2,029","84.8%","8.8%","2,156","81.0%","12.8%","5,184","79.7%","13.7%","3,056","75.2%","19.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,470","23.6%","28.8%","40.7%","6.9%","14,053","8.4%","11.3%","30.5%","24.5%","10.5%","9.8%","5.1%","80.3%","14.8%","2,146","90.2%","17.2%","2,311","84.2%","22.6%","5,346","85.0%","14.5%","4,250","67.1%","9.9%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,169","26.9%","32.5%","34.0%","6.7%","9,527","9.6%","13.5%","38.6%","18.4%","7.4%","8.2%","4.3%","76.9%","12.5%","1,467","83.1%","15.9%","1,827","85.2%","14.3%","3,921","80.2%","12.5%","2,312","60.6%","8.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","642","29.0%","36.8%","28.0%","6.2%","4,481","9.9%","15.2%","41.3%","17.4%","6.6%","6.1%","3.5%","74.9%","9.6%","688","78.6%","8.9%","887","82.0%","9.5%","1,936","76.9%","9.9%","970","61.9%","9.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","527","24.3%","27.3%","41.2%","7.2%","5,046","9.4%","12.1%","36.2%","19.2%","8.1%","10.0%","5.0%","78.6%","15.0%","779","87.0%","22.1%","940","88.2%","18.9%","1,985","83.5%","15.1%","1,342","59.7%","8.0%"
"Cullman County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,939","21.4%","29.5%","46.5%","2.5%","55,380","7.1%","11.3%","33.2%","22.8%","10.4%","9.4%","5.7%","81.5%","15.1%","9,495","87.6%","14.6%","10,005","85.2%","16.5%","22,269","84.1%","16.0%","13,611","70.4%","13.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,521","23.6%","32.8%","43.1%","0.5%","26,948","8.0%","11.6%","33.5%","23.3%","8.5%","10.1%","4.9%","80.4%","15.1%","4,936","87.5%","13.5%","4,935","80.9%","13.2%","11,129","81.6%","15.3%","5,948","71.7%","17.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,418","19.2%","26.2%","50.0%","4.6%","28,432","6.3%","11.0%","32.9%","22.3%","12.2%","8.8%","6.4%","82.7%","15.2%","4,559","87.7%","15.9%","5,070","89.4%","19.7%","11,140","86.7%","16.7%","7,663","69.4%","9.7%"
"Dale County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,820","18.0%","41.1%","33.6%","7.4%","33,129","5.0%","10.3%","31.1%","26.3%","10.5%","11.2%","5.7%","84.7%","16.9%","7,120","89.4%","19.3%","6,186","89.4%","18.6%","12,685","84.9%","15.8%","7,138","75.7%","14.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,653","20.4%","45.2%","26.0%","8.4%","15,833","5.3%","9.9%","29.7%","26.7%","10.9%","11.8%","5.7%","84.8%","17.5%","3,712","88.3%","15.4%","2,937","88.3%","19.2%","6,106","84.2%","16.9%","3,078","78.4%","19.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,167","15.0%","36.1%","42.8%","6.0%","17,296","4.7%","10.6%","32.4%","25.8%","10.2%","10.6%","5.7%","84.7%","16.3%","3,408","90.7%","23.5%","3,249","90.5%","18.1%","6,579","85.5%","14.9%","4,060","73.6%","11.0%"
"Dallas County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,018","22.0%","38.3%","37.8%","2.0%","27,699","6.5%","15.9%","35.4%","20.6%","7.2%","8.5%","6.0%","77.7%","14.5%","4,939","80.2%","8.6%","4,729","81.6%","15.6%","11,712","79.3%","13.9%","6,319","69.8%","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,868","28.3%","41.5%","27.6%","2.7%","12,314","7.6%","14.7%","37.5%","20.4%","7.0%","7.5%","5.2%","77.6%","12.7%","2,228","82.4%","6.4%","2,078","75.5%","8.7%","5,394","78.6%","11.1%","2,614","73.3%","24.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
